Gene1	Gene2	pdi	ppi
NFE2	TBXAS1	1	0
NFE2L2	HMOX1	1	0
NFIC	TP53	1	0
NFYB	CDK1	1	0
PAX2	TP53	1	0
PAX3	MITF	1	0
PAX5	CD19	1	0
PAX5	TP53	1	0
PPARA	CD36	1	0
REL	IL12B	1	0
RELA	IL12B	1	0
RELA	CCL2	1	0
RELA	TNF	1	0
RELA	TP53	1	0
REST	SYN1	1	0
HLTF	SERPINE1	1	0
SOX10	MITF	1	0
SP1	FASLG	1	0
SP1	CCND1	1	0
SP1	CDKN1B	1	0
SP1	COL1A1	1	0
SP1	COL1A2	1	0
SP1	CREB1	1	0
SP1	DHFR	1	0
SP1	E2F1	1	0
SP1	EGFR	1	0
SP1	EGR1	1	0
SP1	FN1	1	0
SP1	GJA1	1	0
SP1	IFNGR1	1	0
SP1	IL10	1	0
SP1	KDR	1	0
SP1	LTC4S	1	0
SP1	MAZ	1	0
SP1	MUC1	1	0
SP1	NOS3	1	0
SP1	PDGFA	1	0
SP1	PGR	1	0
SP1	POLD1	1	0
SP1	RELA	1	0
SP1	SP3	1	0
SP1	SPRR1B	1	0
SP1	STAT1	1	0
SP1	TAF7	1	0
SP1	TEAD1	1	0
SP1	TNF	1	0
SP1	TP53	1	0
SP1	TYMS	1	0
SP1	VEGFA	1	0
SP1	VHL	1	0
SP1	SCARF1	1	0
SP1	PTTG1	1	0
SP3	KDR	1	0
SP3	SP1	1	0
SP3	TP53	1	0
SP3	VEGFA	1	0
SP3	PTGES	1	0
SPI1	ETS2	1	0
SPI1	FES	1	0
SPI1	TLR4	1	0
SREBF1	LDLR	1	0
SREBF1	STAR	1	0
SRF	EGR1	1	0
SRF	FOS	1	0
STAT1	IRF1	1	0
STAT1	CIITA	1	0
STAT1	PSMB9	1	0
STAT1	SOAT1	1	0
STAT3	AKT1	1	0
STAT3	CISH	1	0
STAT3	IL10	1	0
STAT3	MYC	1	0
STAT5B	CCND1	1	0
STAT5B	CISH	1	0
STAT5B	OSM	1	0
STAT6	FCER2	1	0
TBX5	NPPA	1	0
HNF1A	SLC2A2	1	0
HNF1A	SLCO1B1	1	0
TCF7L2	CCND1	1	0
ZEB1	IL2	1	0
ZEB1	TP73	1	0
TFAP2A	TGM1	1	0
NKX2-1	SFTPB	1	0
NKX2-1	TG	1	0
TP53	APAF1	1	0
TP53	APC	1	0
TP53	FAS	1	0
TP53	ATF3	1	0
TP53	BAX	1	0
TP53	CDKN1A	1	0
TP53	DDB2	1	0
TP53	GADD45A	1	0
TP53	EGFR	1	0
TP53	GAPDH	1	0
TP53	IGFBP3	1	0
TP53	MDM2	1	0
TP53	MMP2	1	0
TP53	PCNA	1	0
TP53	SERPINB5	1	0
TP53	POLD1	1	0
TP53	PTEN	1	0
TP53	RB1	1	0
TP53	TP73	1	0
TP53	TNFRSF10B	1	0
TP53	TP53I3	1	0
TP53	BBC3	1	0
TP53	TP53AIP1	1	0
VDR	CYP3A4	1	0
YY1	PARP1	1	0
YY1	TP53	1	0
YY1	DEK	1	0
MZF1	CBS	1	0
MZF1	CD34	1	0
MZF1	MYB	1	0
ZNF148	VIM	1	0
ZNF239	RBP3	1	0
KLF4	TP53	1	0
LHX2	CGA	1	0
ZBTB33	MMP7	1	0
ZBTB33	S100A4	1	0
CTCF	MYC	1	0
CTCF	PLK1	1	0
AHR	CDKN1B	1	0
AHR	CEBPB	1	0
AHR	EP300	1	0
AHR	GTF2B	1	0
AHR	HSP90AA1	1	0
AHR	MDM2	1	0
AHR	NFIC	1	0
AHR	PML	1	0
AHR	NRIP1	1	0
AHR	AIP	1	0
AHR	C1orf107	1	0
AHR	C16orf80	1	0
AHR	SLC35F2	1	0
APP	CLU	1	0
APP	CTSB	1	0
APP	EP300	1	0
APP	HSPA5	1	0
APP	JUND	1	0
APP	KLC1	1	0
APP	MAPT	1	0
APP	MMP2	1	0
APP	MAPK8	1	0
APP	PXN	1	0
APP	TBP	1	0
