Gene1	Gene2	pdi	ppi
ESR2	CCDC71	1	0
ESR2	SH3TC2	1	0
ESR2	PLEKHH3	1	0
ESR2	KRTAP1-1	1	0
ESR2	KLHL29	1	0
ESR2	C16orf42	1	0
ESR2	SLC5A12	1	0
ESR2	DTX3	1	0
ESRRA	EXT2	1	0
ESRRA	FUT7	1	0
ESRRA	GGT1	1	0
ESRRA	GPX4	1	0
ESRRA	GRINA	1	0
ESRRA	GZMK	1	0
ESRRA	HLA-B	1	0
ESRRA	HLA-G	1	0
ESRRA	HSD11B2	1	0
ESRRA	HSPA9	1	0
ESRRA	HSPD1	1	0
ESRRA	DNAJC4	1	0
ESRRA	IDH2	1	0
ESRRA	IL6ST	1	0
ESRRA	IL10	1	0
ESRRA	KCND1	1	0
ESRRA	MAX	1	0
ESRRA	MCAM	1	0
ESRRA	MCM4	1	0
ESRRA	MET	1	0
ESRRA	MGAT3	1	0
ESRRA	MGP	1	0
ESRRA	MYO1C	1	0
ESRRA	NME4	1	0
ESRRA	NOTCH1	1	0
ESRRA	NTN3	1	0
ESRRA	PDE6C	1	0
ESRRA	PFDN5	1	0
ESRRA	PFKP	1	0
ESRRA	PREP	1	0
ESRRA	PRG2	1	0
ESRRA	PTPRB	1	0
ESRRA	RAD23B	1	0
ESRRA	RARG	1	0
ESRRA	RPL3	1	0
ESRRA	RPL35A	1	0
ESRRA	RPS3A	1	0
ESRRA	SFTPB	1	0
ESRRA	SFTPC	1	0
ESRRA	SH3BGRL	1	0
ESRRA	SLC11A1	1	0
ESRRA	SMARCA4	1	0
ESRRA	SMARCC2	1	0
ESRRA	SNRPA1	1	0
ESRRA	SNRPC	1	0
ESRRA	SNRPF	1	0
ESRRA	SSTR5	1	0
ESRRA	TAF10	1	0
ESRRA	TCEB2	1	0
ESRRA	PHLDA2	1	0
ESRRA	UBA52	1	0
ESRRA	UBE2I	1	0
ESRRA	ZNF14	1	0
ESRRA	FXR1	1	0
ESRRA	FZD6	1	0
ESRRA	EEA1	1	0
ESRRA	LMO4	1	0
ESRRA	PDLIM4	1	0
ESRRA	CPNE1	1	0
ESRRA	TM4SF5	1	0
ESRRA	AIFM1	1	0
ESRRA	TBRG4	1	0
ESRRA	SLC9A3R1	1	0
ESRRA	ATP6AP2	1	0
ESRRA	TUBB2C	1	0
ESRRA	MXD4	1	0
ESRRA	PLK4	1	0
ESRRA	VAMP5	1	0
ESRRA	YWHAQ	1	0
ESRRA	LILRA2	1	0
ESRRA	OGFR	1	0
ESRRA	SEC23IP	1	0
ESRRA	TMC6	1	0
ESRRA	LPHN1	1	0
ESRRA	DZIP1	1	0
ESRRA	RPIA	1	0
ESRRA	PLXND1	1	0
ESRRA	GRAMD4	1	0
ESRRA	PASK	1	0
ESRRA	PMPCA	1	0
ESRRA	RRP12	1	0
ESRRA	KIAA0802	1	0
ESRRA	OBSL1	1	0
ESRRA	PPIL2	1	0
ESRRA	RAB26	1	0
ESRRA	RPL36	1	0
ESRRA	COBRA1	1	0
ESRRA	TRPC4AP	1	0
ESRRA	TTLL3	1	0
ESRRA	CARD10	1	0
ESRRA	EPN1	1	0
ESRRA	FTSJ2	1	0
ESRRA	ITSN2	1	0
ESRRA	ASCC1	1	0
ESRRA	GULP1	1	0
ESRRA	LSM7	1	0
ESRRA	TPCN1	1	0
ESRRA	TMEM132A	1	0
ESRRA	TTC38	1	0
ESRRA	SLC25A36	1	0
ESRRA	CNDP2	1	0
ESRRA	ZNF395	1	0
ESRRA	C21orf62	1	0
ESRRA	C3orf37	1	0
ESRRA	FAM3A	1	0
ESRRA	SNX16	1	0
ESRRA	DEM1	1	0
ESRRA	ZXDC	1	0
ESRRA	C17orf62	1	0
ESRRA	CORO7	1	0
ESRRA	IPO4	1	0
ESRRA	C18orf22	1	0
ESRRA	CXorf21	1	0
ESRRA	TMEM121	1	0
ESRRA	LAS1L	1	0
ESRRA	TM2D1	1	0
ESRRA	C16orf42	1	0
ESRRA	NSUN5P1	1	0
ESRRA	LPCAT4	1	0
ESRRA	RPS14P3	1	0
ESRRB	IGKC	1	0
ESRRB	KLF4	1	0
ESRRB	SV2A	1	0
ESRRB	CDC42EP2	1	0
ESRRB	CD244	1	0
ESRRB	LAMA1	1	0
ETS1	ETV4	1	0
ETS1	NPPA	1	0
ETS1	POU6F1	1	0
ETS1	SFRP4	1	0
ETS1	PAX8	1	0
ETS1	CD96	1	0
ETS1	MAPK8IP2	1	0
ETS1	NYX	1	0
ETS1	ANTXR1	1	0
ETS1	SPICE1	1	0
ETS2	HSBP1	1	0
ETS2	IGSF3	1	0
ETS2	IFRD1	1	0
ETS2	IMPA2	1	0
ETS2	INSR	1	0
ETS2	JUN	1	0
ETS2	SMAD3	1	0
ETS2	MCAM	1	0
ETS2	TRIM37	1	0
ETS2	NDUFA8	1	0
ETS2	PAFAH1B2	1	0
ETS2	PCMT1	1	0
ETS2	CDK16	1	0
ETS2	PDK3	1	0
ETS2	PIN4	1	0
ETS2	PLAUR	1	0
ETS2	PMAIP1	1	0
ETS2	PSPH	1	0
ETS2	RAB13	1	0
ETS2	RPA1	1	0
ETS2	RPA3	1	0
ETS2	CLEC11A	1	0
ETS2	TLE2	1	0
ETS2	UBE2I	1	0
ETS2	VEGFA	1	0
ETS2	ZFAND5	1	0
ETS2	PTP4A1	1	0
ETS2	AKAP17A	1	0
ETS2	LAGE3	1	0
ETS2	AKR7A2	1	0
ETS2	MYOM1	1	0
ETS2	TNFRSF10B	1	0
ETS2	HSPB3	1	0
ETS2	BCL7C	1	0
ETS2	KLF4	1	0
ETS2	SFI1	1	0
ETS2	GOLGA5	1	0
ETS2	ATP5H	1	0
ETS2	POLR3C	1	0
ETS2	MTHFD2	1	0
ETS2	NUDT4	1	0
ETS2	CLSTN1	1	0
ETS2	EPN2	1	0
ETS2	SETX	1	0
ETS2	CDK19	1	0
ETS2	CLCF1	1	0
ETS2	LDOC1	1	0
ETS2	MAFF	1	0
ETS2	METTL7A	1	0
ETS2	VPS33B	1	0
ETS2	PRKAG2	1	0
ETS2	CWC25	1	0
ETS2	SLC25A36	1	0
ETS2	ZNF287	1	0
ETS2	CUEDC2	1	0
ETS2	C17orf62	1	0
ETS2	ZNF606	1	0
ETS2	MED25	1	0
ETS2	HDHD3	1	0
ETS2	INHBE	1	0
ETS2	H2AFV	1	0
ETS2	LPCAT4	1	0
ETS2	NBPF10	1	0
ETV1	NTRK3	1	0
ETV4	IL4	1	0
ETV4	SERPINB10	1	0
ETV4	TFAP2B	1	0
ETV4	IGSF6	1	0
ETV4	HECW1	1	0
MECOM	HNF4A	1	0
EVX1	GNAS	1	0
EVX1	HLA-DRB1	1	0
EVX1	LHB	1	0
EVX1	OMD	1	0
EVX1	SIX3	1	0
EVX1	SNTB2	1	0
EVX1	ZRSR2	1	0
EVX1	CD84	1	0
EVX1	AUTS2	1	0
EVX1	FBXO2	1	0
EWSR1	FUS	1	0
BPTF	FN1	1	0
BPTF	FOSL2	1	0
BPTF	GLRX	1	0
BPTF	GNA11	1	0
BPTF	ILF3	1	0
BPTF	LIPA	1	0
BPTF	LMNA	1	0
BPTF	LTA4H	1	0
BPTF	MAX	1	0
BPTF	MKI67	1	0
BPTF	MLF1	1	0
BPTF	CEACAM6	1	0
BPTF	NFIC	1	0
BPTF	CNOT2	1	0
BPTF	CNOT4	1	0
BPTF	POLB	1	0
BPTF	PKIA	1	0
BPTF	PSMC1	1	0
BPTF	PTBP1	1	0
BPTF	RAF1	1	0
BPTF	BRD2	1	0
BPTF	RXRA	1	0
BPTF	SCML1	1	0
BPTF	SKP1	1	0
BPTF	SRP72	1	0
BPTF	SYK	1	0
BPTF	TBX2	1	0
BPTF	TFAP2A	1	0
BPTF	TIAL1	1	0
BPTF	TLE3	1	0
BPTF	TMPO	1	0
BPTF	TRPS1	1	0
BPTF	UBE3A	1	0
BPTF	VCL	1	0
BPTF	WRB	1	0
BPTF	YY1	1	0
BPTF	ZNF24	1	0
BPTF	ZNF148	1	0
BPTF	NCOA3	1	0
BPTF	ARID1A	1	0
BPTF	SPOP	1	0
BPTF	STX7	1	0
BPTF	DEGS1	1	0
BPTF	FAM193A	1	0
BPTF	CDK13	1	0
BPTF	EIF3A	1	0
BPTF	MPZL1	1	0
BPTF	PRC1	1	0
BPTF	STK17A	1	0
BPTF	PPIG	1	0
BPTF	GTF2IRD1	1	0
BPTF	KIAA0355	1	0
BPTF	SETD1A	1	0
BPTF	LAPTM4A	1	0
BPTF	MAML1	1	0
BPTF	KEAP1	1	0
BPTF	ZBTB40	1	0
BPTF	MED13	1	0
BPTF	WARS2	1	0
BPTF	NEBL	1	0
BPTF	SLC19A2	1	0
BPTF	SNRNP27	1	0
BPTF	BAZ1A	1	0
BPTF	AKAP10	1	0
BPTF	ACOT7	1	0
BPTF	SNW1	1	0
BPTF	PAXIP1	1	0
BPTF	TCF25	1	0
BPTF	NCOA6	1	0
BPTF	PLXND1	1	0
BPTF	GPATCH8	1	0
BPTF	ZCCHC14	1	0
BPTF	FAF2	1	0
BPTF	KIAA0182	1	0
BPTF	BAT2L2	1	0
BPTF	NUP210	1	0
BPTF	RPRD2	1	0
BPTF	FNBP4	1	0
BPTF	PUM2	1	0
BPTF	SRRM2	1	0
BPTF	PPIL2	1	0
BPTF	TNFAIP8	1	0
BPTF	CCDC28A	1	0
BPTF	KBTBD2	1	0
BPTF	SFRS18	1	0
BPTF	HIGD1A	1	0
BPTF	UPF2	1	0
BPTF	SENP6	1	0
BPTF	GMEB2	1	0
BPTF	PLEK2	1	0
BPTF	EIF2C2	1	0
BPTF	ZNF638	1	0
BPTF	NME7	1	0
BPTF	IFT52	1	0
BPTF	RNFT1	1	0
BPTF	GPN3	1	0
BPTF	WAC	1	0
BPTF	TRIM33	1	0
BPTF	DNAJC10	1	0
BPTF	WDR74	1	0
BPTF	PDP1	1	0
BPTF	DNAJB12	1	0
BPTF	QRICH1	1	0
BPTF	SEMA4C	1	0
BPTF	CMTM6	1	0
BPTF	TUG1	1	0
BPTF	PHIP	1	0
BPTF	SETD5	1	0
BPTF	ASXL2	1	0
BPTF	PRPF40A	1	0
BPTF	LIN37	1	0
BPTF	MOSPD1	1	0
BPTF	SAR1A	1	0
BPTF	PRDM10	1	0
BPTF	THOC2	1	0
BPTF	TGIF2	1	0
BPTF	KDELC1	1	0
BPTF	CPSF7	1	0
BPTF	C14orf45	1	0
BPTF	TMEM177	1	0
BPTF	QTRT1	1	0
BPTF	RBM4B	1	0
BPTF	POLDIP3	1	0
BPTF	IRGQ	1	0
BPTF	FRYL	1	0
FOXF1	GRIK4	1	0
FOXF1	NTRK2	1	0
FOXF1	MASP1	1	0
FOXF1	KLK7	1	0
FOXF1	TEK	1	0
FOXF1	IGF2BP3	1	0
FOXF1	CDC42EP4	1	0
FOXF1	FBXO4	1	0
FOXF1	VPS41	1	0
FOXF1	SLC4A10	1	0
FOXF1	AICDA	1	0
FOXF1	LRRC19	1	0
FOXF2	GALE	1	0
FOXF2	PDGFRA	1	0
FOXF2	SNCA	1	0
FOXF2	TEP1	1	0
FOXF2	CAMKK2	1	0
FOXF2	ADAM22	1	0
FOXF2	KLK15	1	0
FOXF2	PCDHA10	1	0
FOXF2	VIPAR	1	0
FOXF2	TRIM48	1	0
FOXF2	TSGA14	1	0
FOXF2	PTCRA	1	0
FOXC1	MLF1	1	0
FOXC1	NEU1	1	0
FOXC1	CNOT2	1	0
FOXC1	P2RY6	1	0
FOXC1	CXCL12	1	0
FOXC1	TLE3	1	0
FOXC1	MTMR1	1	0
FOXC1	KIF3B	1	0
FOXC1	FLOT1	1	0
FOXC1	SMYD5	1	0
FOXC1	PDS5B	1	0
FOXC1	NOL11	1	0
FOXC1	TSKU	1	0
FOXC1	UTP20	1	0
FOXC1	EGLN1	1	0
FOXC1	TEX10	1	0
FOXC1	ATP5SL	1	0
FOXC1	NUDT15	1	0
FOXC1	RBM22	1	0
FOXC1	PBLD	1	0
FOXC1	TOR3A	1	0
FOXC1	AEN	1	0
FOXD1	GTF2F2	1	0
FOXD1	PTPN1	1	0
FOXD1	RAD17	1	0
FOXD1	NR2F2	1	0
FOXD1	EIF2B3	1	0
FOXD1	VAPA	1	0
FOXD1	KIAA0196	1	0
FOXD1	SPRY1	1	0
FOXD1	ST3GAL6	1	0
FOXD1	PDS5B	1	0
FOXD1	KANK1	1	0
FOXD1	UBQLN2	1	0
FOXD1	ZNF44	1	0
FOXD1	TEX10	1	0
FOXD1	CDV3	1	0
FOXD1	OVOL2	1	0
FOXD1	AEN	1	0
FOXD1	NARS2	1	0
FOXD1	WDR82	1	0
FOXD1	MAPK1IP1L	1	0
FOXI1	NUCB2	1	0
FOXL1	HIST1H1A	1	0
FOXL1	TLX2	1	0
FOXL1	HTR7	1	0
FOXL1	IL8	1	0
FOXL1	MAF	1	0
FOXL1	MAP4	1	0
FOXL1	PGK1	1	0
FOXL1	PSMD5	1	0
FOXL1	MAP4K2	1	0
FOXL1	RGS1	1	0
FOXL1	RPL4	1	0
FOXL1	SDC2	1	0
FOXL1	USH2A	1	0
FOXL1	ZNF224	1	0
FOXL1	LST1	1	0
FOXL1	SMARCA5	1	0
FOXL1	CCPG1	1	0
FOXL1	C14orf2	1	0
FOXL1	KCNE2	1	0
FOXL1	HNRNPA3P1	1	0
FOXL1	DSCR3	1	0
FOXL1	TRAK1	1	0
FOXL1	ATG2A	1	0
FOXL1	SLITRK5	1	0
FOXL1	HIBCH	1	0
FOXL1	SMR3A	1	0
FOXL1	PSMC3IP	1	0
FOXL1	EPN1	1	0
FOXL1	RBFOX1	1	0
FOXL1	C12orf48	1	0
FOXL1	EBLN2	1	0
FOXL1	SLC48A1	1	0
FOXL1	TDRD1	1	0
FOXL1	C7orf69	1	0
FOXL1	REEP4	1	0
FOXL1	PDCD1LG2	1	0
FOXL1	OR51E2	1	0
FOXL1	USP32	1	0
FOXL1	CBR4	1	0
FOXL1	SYDE1	1	0
FOXL1	ARHGAP12	1	0
FOXL1	FAM129A	1	0
FOXL1	ZNF675	1	0
FOXL1	KHDRBS2	1	0
FOXJ1	MAP1A	1	0
FOXJ1	DPF3	1	0
FOXJ1	RIMS2	1	0
FOXJ1	BEX1	1	0
FOXJ1	KIR3DX1	1	0
FOXM1	GMFB	1	0
FOXM1	GNAI3	1	0
FOXM1	GNS	1	0
FOXM1	GOLGA3	1	0
FOXM1	HCFC1	1	0
FOXM1	HDGF	1	0
FOXM1	HSF2	1	0
FOXM1	KPNB1	1	0
FOXM1	LTBP1	1	0
FOXM1	MAGOH	1	0
FOXM1	MYO1C	1	0
FOXM1	NFIB	1	0
FOXM1	NFIC	1	0
FOXM1	PPP1R2	1	0
FOXM1	PTBP1	1	0
FOXM1	RANGAP1	1	0
FOXM1	SCNN1A	1	0
FOXM1	SGSH	1	0
FOXM1	SNX2	1	0
FOXM1	SRM	1	0
FOXM1	SUV39H1	1	0
FOXM1	TAF13	1	0
FOXM1	TBX2	1	0
FOXM1	TCF3	1	0
FOXM1	UBE2D1	1	0
FOXM1	UBE2H	1	0
FOXM1	WFS1	1	0
FOXM1	SF1	1	0
FOXM1	PCGF2	1	0
FOXM1	BAT3	1	0
FOXM1	NPRL3	1	0
FOXM1	TRRAP	1	0
FOXM1	HAT1	1	0
FOXM1	PRPF18	1	0
FOXM1	KHSRP	1	0
FOXM1	EIF3B	1	0
FOXM1	SNAP23	1	0
FOXM1	RIOK3	1	0
FOXM1	USP13	1	0
FOXM1	MTA1	1	0
FOXM1	GPR56	1	0
FOXM1	HOMER3	1	0
FOXM1	ATG5	1	0
FOXM1	MED20	1	0
FOXM1	NCOR2	1	0
FOXM1	TTC35	1	0
FOXM1	KEAP1	1	0
FOXM1	UBAP2L	1	0
FOXM1	TANK	1	0
FOXM1	DNM1L	1	0
FOXM1	DPP3	1	0
FOXM1	PTPRU	1	0
FOXM1	ACTR1A	1	0
FOXM1	ATP6AP2	1	0
FOXM1	SRRM1	1	0
FOXM1	SAP18	1	0
FOXM1	TM9SF1	1	0
FOXM1	COPS8	1	0
FOXM1	FASTK	1	0
FOXM1	GCN1L1	1	0
FOXM1	SF3B2	1	0
FOXM1	SLC27A3	1	0
FOXM1	HNRNPUL1	1	0
FOXM1	WDR6	1	0
FOXM1	GALNT6	1	0
FOXM1	MAN1B1	1	0
FOXM1	KIAA1033	1	0
FOXM1	CTDNEP1	1	0
FOXM1	SSBP2	1	0
FOXM1	PLXNB2	1	0
FOXM1	ARIH1	1	0
FOXM1	STRN4	1	0
FOXM1	RNFT1	1	0
FOXM1	AZIN1	1	0
FOXM1	MBD3	1	0
FOXM1	EPS8L1	1	0
FOXM1	C19orf60	1	0
FOXM1	ARMC1	1	0
FOXM1	MFN1	1	0
FOXM1	FGD6	1	0
FOXM1	RNF114	1	0
FOXM1	INTS12	1	0
FOXM1	CHMP1B	1	0
FOXM1	WIZ	1	0
FOXM1	UNKL	1	0
FOXM1	WDR13	1	0
FOXM1	RPAP3	1	0
FOXM1	NPEPL1	1	0
FOXM1	LPCAT1	1	0
FOXM1	BRIP1	1	0
FOXM1	ARFGAP2	1	0
FOXM1	DCAF15	1	0
FOXM1	HN1L	1	0
FOXM1	ADCK2	1	0
FOXM1	IQCK	1	0
FOXM1	CANT1	1	0
FOXO1	FOXO3	1	0
FOXO1	PRMT2	1	0
FOXO1	KRT6A	1	0
FOXO1	MAPK13	1	0
FOXO1	PSMC2	1	0
FOXO1	PSMD11	1	0
FOXO1	RAD52	1	0
FOXO1	RBBP6	1	0
FOXO1	RPL27A	1	0
FOXO1	PRDX2	1	0
FOXO1	TRIM24	1	0
FOXO1	EIF2B2	1	0
FOXO1	NMI	1	0
FOXO1	SLC22A6	1	0
FOXO1	RAB9A	1	0
FOXO1	TSC22D2	1	0
FOXO1	CEP350	1	0
FOXO1	ZBTB5	1	0
FOXO1	GCN1L1	1	0
FOXO1	SNW1	1	0
FOXO1	MYCBP2	1	0
FOXO1	DDN	1	0
FOXO1	RYBP	1	0
FOXO1	WWTR1	1	0
FOXO1	C1orf77	1	0
FOXO1	SENP3	1	0
FOXO1	SMPDL3B	1	0
FOXO1	USP25	1	0
FOXO1	COPS7A	1	0
FOXO1	TMEM70	1	0
FOXO1	C8orf4	1	0
FOXO1	MRPL11	1	0
FOXO1	ZCCHC6	1	0
FOXO1	CROCCP2	1	0
FOXO1	RABL3	1	0
FOXO3	FRZB	1	0
FOXO3	GALC	1	0
FOXO3	GGCX	1	0
FOXO3	GOLGB1	1	0
FOXO3	GRSF1	1	0
FOXO3	GSTM4	1	0
FOXO3	MSH6	1	0
FOXO3	H2AFX	1	0
FOXO3	HARS	1	0
FOXO3	NRG1	1	0
FOXO3	PRMT1	1	0
FOXO3	HES1	1	0
FOXO3	DNAJA1	1	0
FOXO3	HSPA9	1	0
FOXO3	IGSF3	1	0
FOXO3	HSP90AB1	1	0
FOXO3	IDH3B	1	0
FOXO3	IGFBP5	1	0
FOXO3	IRF1	1	0
FOXO3	ITGAE	1	0
FOXO3	JUN	1	0
FOXO3	JUND	1	0
FOXO3	KPNA1	1	0
FOXO3	LAMP1	1	0
FOXO3	LCP2	1	0
FOXO3	LDLR	1	0
FOXO3	LIMS1	1	0
FOXO3	SMAD3	1	0
FOXO3	MAGOH	1	0
FOXO3	MLL	1	0
FOXO3	MNT	1	0
FOXO3	GADD45B	1	0
FOXO3	NAB2	1	0
FOXO3	NCK1	1	0
FOXO3	NDUFB1	1	0
FOXO3	NFE2L1	1	0
FOXO3	NFKB2	1	0
FOXO3	YBX1	1	0
FOXO3	OPA1	1	0
FOXO3	PAWR	1	0
FOXO3	PCM1	1	0
FOXO3	PFKFB3	1	0
FOXO3	PHB	1	0
FOXO3	PHYH	1	0
FOXO3	PI4KB	1	0
FOXO3	PIN4	1	0
FOXO3	PPIC	1	0
FOXO3	PPP1CB	1	0
FOXO3	PRKAB1	1	0
FOXO3	PSEN1	1	0
FOXO3	PSMA2	1	0
FOXO3	PSMD10	1	0
FOXO3	PVR	1	0
FOXO3	RARG	1	0
FOXO3	REL	1	0
FOXO3	RELB	1	0
FOXO3	RFC2	1	0
FOXO3	RHEB	1	0
FOXO3	RPL3	1	0
FOXO3	RPL38	1	0
FOXO3	S100A11	1	0
FOXO3	SCP2	1	0
FOXO3	SLC1A5	1	0
FOXO3	SLC3A2	1	0
FOXO3	SLC20A2	1	0
FOXO3	SMARCA4	1	0
FOXO3	SOS1	1	0
FOXO3	SOX4	1	0
FOXO3	SSB	1	0
FOXO3	STX3	1	0
FOXO3	TPI1	1	0
FOXO3	TPR	1	0
FOXO3	UBE2N	1	0
FOXO3	KDM6A	1	0
FOXO3	UVRAG	1	0
FOXO3	VDAC3	1	0
FOXO3	VEGFA	1	0
FOXO3	WHSC1	1	0
FOXO3	ZNF148	1	0
FOXO3	MLLT10	1	0
FOXO3	ANP32A	1	0
FOXO3	HIST2H2AA3	1	0
FOXO3	HIST1H2BG	1	0
FOXO3	HIST1H2BE	1	0
FOXO3	TAGLN2	1	0
FOXO3	SMARCA5	1	0
FOXO3	RAE1	1	0
FOXO3	LMO4	1	0
FOXO3	PDXK	1	0
FOXO3	B4GALT4	1	0
FOXO3	TNFRSF10B	1	0
FOXO3	SUCLG2	1	0
FOXO3	ATP6V0E1	1	0
FOXO3	TM4SF5	1	0
FOXO3	DEDD	1	0
FOXO3	TM9SF2	1	0
FOXO3	CDYL	1	0
FOXO3	TRAF4	1	0
FOXO3	RALGPS1	1	0
FOXO3	N4BP1	1	0
FOXO3	VGLL4	1	0
FOXO3	PUM1	1	0
FOXO3	MAML1	1	0
FOXO3	TSC22D2	1	0
FOXO3	GINS1	1	0
FOXO3	TOMM70A	1	0
FOXO3	RBM8A	1	0
FOXO3	WDR1	1	0
FOXO3	MED6	1	0
FOXO3	RANBP9	1	0
FOXO3	TSFM	1	0
FOXO3	PDIA6	1	0
FOXO3	SERF2	1	0
FOXO3	RBM5	1	0
FOXO3	GPHN	1	0
FOXO3	UBE4B	1	0
FOXO3	CNPY2	1	0
FOXO3	CITED2	1	0
FOXO3	GNB2L1	1	0
FOXO3	CFDP1	1	0
FOXO3	UNC13B	1	0
FOXO3	IPO7	1	0
FOXO3	ARL6IP5	1	0
FOXO3	POLR3C	1	0
FOXO3	ATP5L	1	0
FOXO3	CELF1	1	0
FOXO3	PHTF1	1	0
FOXO3	NUP50	1	0
FOXO3	EBNA1BP2	1	0
FOXO3	KIF2C	1	0
FOXO3	HSF2BP	1	0
FOXO3	ESM1	1	0
FOXO3	ERLIN2	1	0
FOXO3	B4GALT7	1	0
FOXO3	ADNP2	1	0
FOXO3	R3HDM2	1	0
FOXO3	MLXIP	1	0
FOXO3	ANKRD6	1	0
FOXO3	FOXJ3	1	0
FOXO3	MYCBP2	1	0
FOXO3	KDM6B	1	0
FOXO3	CLCC1	1	0
FOXO3	TBC1D9	1	0
FOXO3	LPIN1	1	0
FOXO3	UBR2	1	0
FOXO3	HAUS5	1	0
FOXO3	SPECC1L	1	0
FOXO3	SIK3	1	0
FOXO3	TARDBP	1	0
FOXO3	SAMM50	1	0
FOXO3	FBXO9	1	0
FOXO3	NGFRAP1	1	0
FOXO3	ATP2C1	1	0
FOXO3	CACYBP	1	0
FOXO3	TMEM97	1	0
FOXO3	GIT1	1	0
FOXO3	TMEM14A	1	0
FOXO3	C1GALT1C1	1	0
FOXO3	COMMD9	1	0
FOXO3	C7orf68	1	0
FOXO3	RDH11	1	0
FOXO3	TUBD1	1	0
FOXO3	RSL24D1	1	0
FOXO3	COX16	1	0
FOXO3	TNFRSF12A	1	0
FOXO3	UBR5	1	0
FOXO3	RWDD1	1	0
FOXO3	ANAPC5	1	0
FOXO3	C11orf73	1	0
FOXO3	C20orf111	1	0
FOXO3	LUC7L3	1	0
FOXO3	MIOS	1	0
FOXO3	SYTL2	1	0
FOXO3	TMEM70	1	0
FOXO3	TUG1	1	0
FOXO3	VPS37C	1	0
FOXO3	SLC25A36	1	0
FOXO3	FANCI	1	0
FOXO3	HIF1AN	1	0
FOXO3	CMAS	1	0
FOXO3	NSFL1C	1	0
FOXO3	KLHL7	1	0
FOXO3	UBQLN4	1	0
FOXO3	STARD7	1	0
FOXO3	UTP3	1	0
FOXO3	SCYL3	1	0
FOXO3	SMURF1	1	0
FOXO3	KIAA1967	1	0
FOXO3	PRUNE	1	0
FOXO3	SPCS3	1	0
FOXO3	FNDC3B	1	0
FOXO3	RBM15	1	0
FOXO3	MLPH	1	0
FOXO3	C16orf68	1	0
FOXO3	DERL1	1	0
FOXO3	TNIP2	1	0
FOXO3	GNPTAB	1	0
FOXO3	RNF146	1	0
FOXO3	ZMIZ2	1	0
FOXO3	FAM172A	1	0
FOXO3	KIAA1109	1	0
FOXO3	NFATC2IP	1	0
FOXO3	DCAF15	1	0
FOXO3	C19orf6	1	0
FOXO3	MAPK1IP1L	1	0
FOXO3	CADPS2	1	0
FOXO3	SFXN1	1	0
FOXO3	FTSJ3	1	0
FOXO3	MRPL52	1	0
FOXO3	SPATA2L	1	0
FOXO3	CRYBG3	1	0
FOXO3	TET3	1	0
FOXO3	SPRED2	1	0
FOXO3	DND1	1	0
FOXO3	APITD1	1	0
FOXO3	CXorf40B	1	0
FOXO3	NBPF10	1	0
FLI1	FOLR3	1	0
FLI1	GNA11	1	0
FLI1	GPX5	1	0
FLI1	GSTM4	1	0
FLI1	IGF1	1	0
FLI1	KTN1	1	0
FLI1	LYL1	1	0
FLI1	MCM4	1	0
FLI1	MYO1C	1	0
FLI1	NFE2	1	0
FLI1	NTRK2	1	0
FLI1	ODF1	1	0
FLI1	PREP	1	0
FLI1	PSMB7	1	0
FLI1	PTPRR	1	0
FLI1	RHAG	1	0
FLI1	RNASE6	1	0
FLI1	RPN1	1	0
FLI1	RPS4X	1	0
FLI1	RPS6	1	0
FLI1	SLCO1A2	1	0
FLI1	SPOCK1	1	0
FLI1	SRP72	1	0
FLI1	ICAM5	1	0
FLI1	WAS	1	0
FLI1	NUP214	1	0
FLI1	CSRP3	1	0
FLI1	FOXN1	1	0
FLI1	NRP2	1	0
FLI1	CD84	1	0
FLI1	RAB28	1	0
FLI1	NFAT5	1	0
FLI1	LILRA1	1	0
FLI1	RAP1GAP2	1	0
FLI1	MAST2	1	0
FLI1	SIRT5	1	0
FLI1	FSCN3	1	0
FLI1	CRIM1	1	0
FLI1	BIN2	1	0
FLI1	POMGNT1	1	0
FLI1	PCDHGA1	1	0
FLI1	SLC2A9	1	0
FLI1	TSKS	1	0
FLI1	PRDM14	1	0
FLI1	SAMSN1	1	0
FLI1	TMC7	1	0
FLI1	CEP290	1	0
FLI1	ADCK2	1	0
FLI1	OSBPL10	1	0
FLI1	B3GNTL1	1	0
FLI1	SUZ12P	1	0
FOS	VEZF1	1	0
NR5A2	INPP5B	1	0
NR5A2	ITGA5	1	0
NR5A2	ITGAL	1	0
NR5A2	ITK	1	0
NR5A2	KCND3	1	0
NR5A2	KIF25	1	0
NR5A2	KRT6A	1	0
NR5A2	LMAN1	1	0
NR5A2	MAGEB4	1	0
NR5A2	MAP4	1	0
NR5A2	MAP3K5	1	0
NR5A2	NF2	1	0
NR5A2	NTRK2	1	0
NR5A2	PCSK5	1	0
NR5A2	PDPK1	1	0
NR5A2	PPP2R2B	1	0
NR5A2	PTGFR	1	0
NR5A2	PTGS1	1	0
NR5A2	RAB2A	1	0
NR5A2	RCVRN	1	0
NR5A2	RPN1	1	0
NR5A2	TRGV5	1	0
NR5A2	PIP5K1A	1	0
NR5A2	SIP1	1	0
NR5A2	CDK13	1	0
NR5A2	SLC4A4	1	0
NR5A2	NRP1	1	0
NR5A2	BTRC	1	0
NR5A2	BPY2	1	0
NR5A2	SLC16A7	1	0
NR5A2	CCPG1	1	0
NR5A2	SLC22A8	1	0
