,source,interaction,target,directed,pmid,ndex:citation
349,SMRD1,controls-expression-of,SGK1,true,"""17440046""","""pmid:17440046"""
350,SPI1,controls-expression-of,FCG2A,true,"""10820245""","""pmid:10820245"""
351,STA5A,controls-expression-of,CASB,true,"""8878484""","""pmid:8878484"""
352,STA5A,neighbor-of,STA5B,,"""8878484""","""pmid:8878484"""
353,STA5B,controls-expression-of,CASB,true,"""8878484""","""pmid:8878484"""
354,STAT1,controls-expression-of,IRF1,true,"""10820245""","""pmid:10820245"""
355,SUMO2,controls-state-change-of,GCR,true,"""18337589""","""pmid:18337589"""
356,TBP,controls-expression-of,OSTCN,true,"""9388207""","""pmid:9388207"""
357,TF65,controls-expression-of,CSF2,true,"""10958685""","""pmid:10958685"""
358,TF65,controls-expression-of,ICAM1,true,"""10760263""","""pmid:10760263"""
359,TF65,controls-expression-of,IL6,true,"""8290595""","""pmid:8290595"""
360,TF65,controls-expression-of,IL8,true,"""10760263""","""pmid:10760263"""
361,TF65,controls-expression-of,LYAM2,true,"""10760263""","""pmid:10760263"""
